aluno_id|curso|situacao_estudante|frequencia|media_notas|renda_familiar|prob_evasao|risco_evasao
2024_00000|Psicologia|Ingressante|0|0,0|49500,0|0,4308292|Médio risco
2024_00001|Arquitetura|Ingressante|0|0,0|1168800,0|0,8284995|Alto risco
2024_00002|Engenharia|Ingressante|0|0,0|215100,0|0,44492826|Médio risco
2024_00003|Computação|Ingressante|0|0,0|94400,0|0,59581006|Médio risco
2024_00004|Administração|Ingressante|0|0,0|1167500,0|0,6555245|Médio risco
2024_00005|Administração|Ingressante|0|0,0|677000,0|0,61166126|Médio risco
2024_00006|Psicologia|Ingressante|0|0,0|108400,0|0,6958112|Médio risco
2024_00007|Administração|Ingressante|0|0,0|883300,0|0,6494835|Médio risco
2024_00008|Direito|Ingressante|0|0,0|632200,0|0,50349104|Médio risco
2024_00009|Computação|Ingressante|0|0,0|144600,0|0,6115167|Médio risco
2024_00010|Psicologia|Ingressante|0|0,0|886400,0|0,5689262|Médio risco
2024_00011|Computação|Ingressante|0|0,0|558700,0|0,7456221|Alto risco
2024_00012|Arquitetura|Ingressante|0|0,0|8500,0|0,56147164|Médio risco
2024_00015|Administração|Ingressante|0|0,0|559600,0|0,5538679|Médio risco
2024_00016|Pedagogia|Ingressante|0|0,0|425800,0|0,57457|Médio risco
2024_00017|Psicologia|Ingressante|0|0,0|1174300,0|0,5742028|Médio risco
2024_00018|Psicologia|Ingressante|0|0,0|460400,0|0,5865666|Médio risco
2024_00019|Arquitetura|Ingressante|0|0,0|1208900,0|0,741119|Alto risco
2024_00021|Direito|Ingressante|0|0,0|1022500,0|0,5971227|Médio risco
2024_00024|Medicina|Ingressante|0|0,0|73700,0|0,48859954|Médio risco
2024_00026|Engenharia|Ingressante|0|0,0|1409200,0|0,513766|Médio risco
2024_00028|Pedagogia|Ingressante|0|0,0|1015800,0|0,6724244|Médio risco
2024_00033|Engenharia|Ingressante|0|0,0|625300,0|0,44492826|Médio risco
2024_00034|Pedagogia|Ingressante|0|0,0|1068800,0|0,5155243|Médio risco
2024_00035|Administração|Ingressante|0|0,0|1405400,0|0,5949965|Médio risco
2024_00038|Direito|Ingressante|0|0,0|775100,0|0,4882262|Médio risco
2024_00040|Arquitetura|Ingressante|0|0,0|907900,0|0,8284995|Alto risco
2024_00041|Pedagogia|Ingressante|0|0,0|1380100,0|0,7573911|Alto risco
2024_00042|Computação|Ingressante|0|0,0|294900,0|0,64527345|Médio risco
