situacao_estudante;aluno_id;ano;curso;idade;genero;renda_familiar;tem_bolsa;trabalha;frequencia;media_notas;n_reprovacoes;apoio_familiar;evadiu
Ingressante;2023_00000;2023;Psicologia;19;Feminino;10322,0;0;1;0,834840522;57,41;1;1;1
Ingressante;2023_00001;2023;Pedagogia;20;Feminino;6725,0;0;0;0,727943808;75,33;1;1;1
Ingressante;2023_00002;2023;Computação;23;Feminino;8654,0;0;1;0,92925429;56,03;0;0;0
Matriculado;2023_00003;2023;Psicologia;29;Outro;13888,0;0;0;0,873719282;86,34;2;1;0
Ingressante;2023_00004;2023;Direito;19;Outro;4611,0;0;1;0,838282481;53,64;0;0;0
Matriculado;2023_00005;2023;Arquitetura;25;Masculino;13002,0;1;1;0,956725332;73,82;1;1;1
Ingressante;2023_00006;2023;Computação;24;Feminino;10789,0;1;1;0,826029822;64,93;0;1;0
Matriculado;2023_00007;2023;Computação;20;Feminino;10758,0;0;1;0,828571046;55,14;3;1;0
Matriculado;2023_00008;2023;Psicologia;29;Feminino;10335,0;0;0;0,712079873;84,76;0;1;1
Matriculado;2023_00009;2023;Administração;17;Masculino;4596,0;0;0;0,882387234;49,2;0;0;1
Matriculado;2023_00010;2023;Direito;17;Feminino;10609,0;1;0;0,882117495;72,97;0;1;0
Matriculado;2023_00011;2023;Psicologia;17;Outro;12660,0;1;0;0,951956606;27,54;1;0;0
Matriculado;2023_00012;2023;Direito;17;Outro;4559,0;0;0;0,81868146;69,84;0;0;1
Matriculado;2023_00013;2023;Direito;24;Masculino;14581,0;0;0;0,872066739;83,33;2;1;0
Matriculado;2023_00014;2023;Arquitetura;19;Masculino;11626,0;0;1;0,675978739;62,76;2;1;1
Matriculado;2023_00015;2023;Computação;22;Masculino;3093,0;0;0;0,867912254;68,18;1;1;1
Matriculado;2023_00016;2023;Pedagogia;19;Feminino;14051,0;0;1;0,984410129;90,58;2;1;0
Matriculado;2023_00017;2023;Arquitetura;27;Feminino;1953,0;1;1;0,939217459;80,86;0;1;0
Ingressante;2023_00018;2023;Arquitetura;21;Feminino;3126,0;0;0;0,921916438;31,61;0;1;0
Matriculado;2023_00019;2023;Direito;29;Masculino;5579,0;0;0;0,812728524;56,83;0;1;0
Ingressante;2023_00020;2023;Medicina;29;Masculino;9447,0;1;0;0,949608442;60,7;2;1;0
Matriculado;2023_00021;2023;Computação;23;Feminino;8251,0;0;1;0,778581995;69,68;0;1;0
Matriculado;2023_00022;2023;Administração;18;Outro;13115,0;1;0;0,671109463;64,04;0;0;0
Matriculado;2023_00023;2023;Arquitetura;22;Feminino;3441,0;0;0;0,793857842;57,14;4;1;0
Matriculado;2023_00024;2023;Pedagogia;29;Masculino;10115,0;1;1;0,880168507;56,16;2;0;0
Matriculado;2023_00025;2023;Medicina;22;Feminino;7204,0;0;0;0,807019474;43,41;1;0;0
Matriculado;2023_00026;2023;Medicina;27;Masculino;8965,0;0;1;0,796101441;49,86;2;1;0
Ingressante;2023_00027;2023;Administração;19;Outro;11073,0;0;0;0,923593169;77,6;3;1;1
Matriculado;2023_00028;2023;Arquitetura;22;Masculino;5075,0;0;1;0,786010307;49,27;1;1;0
Matriculado;2023_00029;2023;Pedagogia;26;Feminino;8714,0;0;1;0,794120486;52,96;0;1;1
Ingressante;2023_00030;2023;Computação;26;Masculino;8865,0;1;1;0,85744464;43,13;0;1;0
Matriculado;2023_00031;2023;Engenharia;21;Feminino;14142,0;1;0;0,823258177;70,76;2;0;1
Matriculado;2023_00032;2023;Pedagogia;28;Feminino;5920,0;0;0;0,922892151;79,4;0;0;0
Ingressante;2023_00033;2023;Administração;18;Feminino;12441,0;0;1;0,706051947;82,44;0;1;0
Matriculado;2023_00034;2023;Medicina;25;Masculino;1333,0;1;0;0,738448387;59,16;1;1;1
Ingressante;2023_00035;2023;Computação;24;Masculino;12817,0;1;0;0,851716797;64,03;3;1;0
Matriculado;2023_00036;2023;Pedagogia;19;Masculino;11098,0;0;1;0,826682516;65,43;3;1;0
Matriculado;2023_00037;2023;Engenharia;24;Feminino;5412,0;1;0;0,973536878;58,72;2;1;0
Ingressante;2023_00038;2023;Engenharia;25;Masculino;8688,0;0;0;0,810437949;69,94;1;0;0
Matriculado;2023_00039;2023;Direito;19;Feminino;4976,0;0;1;0,613472561;81,97;2;1;0
Ingressante;2023_00040;2023;Direito;19;Feminino;8672,0;0;0;0,716254558;79,93;0;1;0
Matriculado;2023_00041;2023;Psicologia;18;Feminino;5152,0;1;0;0,692303858;62,48;2;0;0
Ingressante;2023_00042;2023;Administração;24;Masculino;4222,0;0;1;0,857113788;56,98;2;1;0
Matriculado;2023_00043;2023;Arquitetura;26;Feminino;8023,0;0;1;0,839368747;47,71;0;0;0
Matriculado;2023_00044;2023;Pedagogia;17;Masculino;5242,0;0;0;0,86705306;38,94;1;1;0
Matriculado;2023_00045;2023;Pedagogia;24;Feminino;4060,0;0;1;0,700717113;73,16;1;0;0
Ingressante;2023_00046;2023;Arquitetura;23;Feminino;13503,0;0;1;0,847632133;64,98;1;1;0
Ingressante;2023_00047;2023;Psicologia;23;Masculino;11792,0;0;0;0,824893236;65,12;1;1;0
Ingressante;2023_00048;2023;Medicina;19;Masculino;14684,0;0;0;0,833589988;;0;1;0
Matriculado;2023_00049;2023;Medicina;17;Feminino;1311,0;0;0;0,918475909;88,8;0;1;0
Matriculado;2023_00050;2023;Psicologia;20;Feminino;10290,0;1;1;0,987832642;65,64;0;1;1
